poiid,nombre,direccion,telefono,correoelectronico,latitude,longitude,altitud,capacidad,capacidad_disc,fecha_ultima_actualizacion,libres,libres_discapacitados,nivelocupacion_naranja,nivelocupacion_rojo,smassa_sector_sare
1,Salitre,Calle SalitreMálaga,"","",36.7132149,-4.4276681,3.986444,-1,0,2019-10-04 13:09:03,-1,0,17,5,0
2,Cervantes,Calle CervantesMálaga,"","",36.7208633,-4.4119148,9.531203,-1,0,2019-10-04 13:09:03,-1,0,22,5,0
3,El Palo,Calle Alonso Carrillo De AlbornozMálaga,"","",36.721035,-4.3607192,8.069582,-1,0,2019-10-04 13:09:03,-1,0,7,5,0
4,Av. de Andalucía,Avenida De AndalucíaMálaga,"","",36.7171364,-4.4277549,7.341792,-1,0,2019-10-04 13:09:03,-1,0,31,5,0
5,Camas,Calle Camas -  Málaga,"","",36.7202072,-4.4244981,7.589293,-1,0,2019-10-04 13:09:04,-1,0,23,5,0
6,Cruz De Humilladero,Plaza Cruz De HumilladeroMálaga,"","",36.7118645,-4.4409118,9.336616,-1,0,2019-10-04 13:09:04,-1,0,12,5,0
8,Alcazaba,Plaza La AlcazabaMálaga,"","",36.7224312,-4.4165168,14.149522,-1,0,2019-10-04 13:09:04,-1,0,27,5,0
9,San Juan De La Cruz,Compositor Lemberg Ruiz - 29007 Málaga (Málaga),952612642,"",36.717865,-4.4332781,8.787301,-1,0,2019-10-04 13:09:04,-1,0,35,5,0
10,Pz. de la Marina,Plaza De La MarinaMálaga,"","",36.7174149,-4.4200468,3.109754,-1,0,2019-10-04 13:09:04,-1,0,23,5,0
12,Tejón y Rodriguez,Calle Tejón Y RodriguezMálaga,"","",36.7235985,-4.4214821,10.485368,-1,0,2019-10-04 13:09:04,-1,0,13,5,0
138,El Carmen,"","","",0,0,0,-1,0,2019-10-04 13:09:04,-1,0,19,5,0
139,Mármoles,"","","",0,0,0,-1,0,2019-10-04 13:09:04,-1,-1,10,5,12
140,El Limonar,Limonar -  Málaga (Málaga),"","",0,0,0,161,0,2019-10-04 13:09:04,-1,-1,16,8,16
142,Bailén,Bailén -  Málaga (Málaga),"","",0,0,0,0,0,2019-10-04 13:09:04,-1,-1,0,0,16
1,Salitre,Calle SalitreMálaga,"","",36.7132149,-4.4276681,3.986444,-1,0,2019-10-04 13:11:03,-1,0,17,5,0
2,Cervantes,Calle CervantesMálaga,"","",36.7208633,-4.4119148,9.531203,-1,0,2019-10-04 13:11:04,-1,0,22,5,0
3,El Palo,Calle Alonso Carrillo De AlbornozMálaga,"","",36.721035,-4.3607192,8.069582,-1,0,2019-10-04 13:11:04,-1,0,7,5,0
4,Av. de Andalucía,Avenida De AndalucíaMálaga,"","",36.7171364,-4.4277549,7.341792,-1,0,2019-10-04 13:11:04,-1,0,31,5,0
5,Camas,Calle Camas -  Málaga,"","",36.7202072,-4.4244981,7.589293,-1,0,2019-10-04 13:11:04,-1,0,23,5,0
6,Cruz De Humilladero,Plaza Cruz De HumilladeroMálaga,"","",36.7118645,-4.4409118,9.336616,-1,0,2019-10-04 13:11:04,-1,0,12,5,0
8,Alcazaba,Plaza La AlcazabaMálaga,"","",36.7224312,-4.4165168,14.149522,-1,0,2019-10-04 13:11:04,-1,0,27,5,0
9,San Juan De La Cruz,Compositor Lemberg Ruiz - 29007 Málaga (Málaga),952612642,"",36.717865,-4.4332781,8.787301,-1,0,2019-10-04 13:11:04,-1,0,35,5,0
10,Pz. de la Marina,Plaza De La MarinaMálaga,"","",36.7174149,-4.4200468,3.109754,-1,0,2019-10-04 13:11:04,-1,0,23,5,0
12,Tejón y Rodriguez,Calle Tejón Y RodriguezMálaga,"","",36.7235985,-4.4214821,10.485368,-1,0,2019-10-04 13:11:04,-1,0,13,5,0
138,El Carmen,"","","",0,0,0,-1,0,2019-10-04 13:11:04,-1,0,19,5,0
139,Mármoles,"","","",0,0,0,-1,0,2019-10-04 13:11:04,-1,-1,10,5,12
140,El Limonar,Limonar -  Málaga (Málaga),"","",0,0,0,161,0,2019-10-04 13:11:04,-1,-1,16,8,16
142,Bailén,Bailén -  Málaga (Málaga),"","",0,0,0,0,0,2019-10-04 13:11:04,-1,-1,0,0,16
1,Salitre,Calle SalitreMálaga,"","",36.7132149,-4.4276681,3.986444,-1,0,2019-10-04 13:14:03,-1,0,17,5,0
2,Cervantes,Calle CervantesMálaga,"","",36.7208633,-4.4119148,9.531203,-1,0,2019-10-04 13:14:03,-1,0,22,5,0
3,El Palo,Calle Alonso Carrillo De AlbornozMálaga,"","",36.721035,-4.3607192,8.069582,-1,0,2019-10-04 13:14:03,-1,0,7,5,0
4,Av. de Andalucía,Avenida De AndalucíaMálaga,"","",36.7171364,-4.4277549,7.341792,-1,0,2019-10-04 13:14:03,-1,0,31,5,0
5,Camas,Calle Camas -  Málaga,"","",36.7202072,-4.4244981,7.589293,-1,0,2019-10-04 13:14:03,-1,0,23,5,0
6,Cruz De Humilladero,Plaza Cruz De HumilladeroMálaga,"","",36.7118645,-4.4409118,9.336616,-1,0,2019-10-04 13:14:03,-1,0,12,5,0
8,Alcazaba,Plaza La AlcazabaMálaga,"","",36.7224312,-4.4165168,14.149522,-1,0,2019-10-04 13:14:03,-1,0,27,5,0
9,San Juan De La Cruz,Compositor Lemberg Ruiz - 29007 Málaga (Málaga),952612642,"",36.717865,-4.4332781,8.787301,-1,0,2019-10-04 13:14:03,-1,0,35,5,0
10,Pz. de la Marina,Plaza De La MarinaMálaga,"","",36.7174149,-4.4200468,3.109754,-1,0,2019-10-04 13:14:03,-1,0,23,5,0
12,Tejón y Rodriguez,Calle Tejón Y RodriguezMálaga,"","",36.7235985,-4.4214821,10.485368,-1,0,2019-10-04 13:14:03,-1,0,13,5,0
138,El Carmen,"","","",0,0,0,-1,0,2019-10-04 13:14:03,-1,0,19,5,0
139,Mármoles,"","","",0,0,0,-1,0,2019-10-04 13:14:03,-1,-1,10,5,12
140,El Limonar,Limonar -  Málaga (Málaga),"","",0,0,0,161,0,2019-10-04 13:14:03,-1,-1,16,8,16
142,Bailén,Bailén -  Málaga (Málaga),"","",0,0,0,0,0,2019-10-04 13:14:03,-1,-1,0,0,16
1,Salitre,Calle SalitreMálaga,"","",36.7132149,-4.4276681,3.986444,-1,0,2019-10-04 13:39:03,-1,0,17,5,0
2,Cervantes,Calle CervantesMálaga,"","",36.7208633,-4.4119148,9.531203,-1,0,2019-10-04 13:39:03,-1,0,22,5,0
3,El Palo,Calle Alonso Carrillo De AlbornozMálaga,"","",36.721035,-4.3607192,8.069582,-1,0,2019-10-04 13:39:03,-1,0,7,5,0
4,Av. de Andalucía,Avenida De AndalucíaMálaga,"","",36.7171364,-4.4277549,7.341792,-1,0,2019-10-04 13:39:03,-1,0,31,5,0
5,Camas,Calle Camas -  Málaga,"","",36.7202072,-4.4244981,7.589293,-1,0,2019-10-04 13:39:03,-1,0,23,5,0
6,Cruz De Humilladero,Plaza Cruz De HumilladeroMálaga,"","",36.7118645,-4.4409118,9.336616,-1,0,2019-10-04 13:39:03,-1,0,12,5,0
8,Alcazaba,Plaza La AlcazabaMálaga,"","",36.7224312,-4.4165168,14.149522,-1,0,2019-10-04 13:39:03,-1,0,27,5,0
9,San Juan De La Cruz,Compositor Lemberg Ruiz - 29007 Málaga (Málaga),952612642,"",36.717865,-4.4332781,8.787301,-1,0,2019-10-04 13:39:03,-1,0,35,5,0
10,Pz. de la Marina,Plaza De La MarinaMálaga,"","",36.7174149,-4.4200468,3.109754,-1,0,2019-10-04 13:39:03,-1,0,23,5,0
12,Tejón y Rodriguez,Calle Tejón Y RodriguezMálaga,"","",36.7235985,-4.4214821,10.485368,-1,0,2019-10-04 13:39:03,-1,0,13,5,0
138,El Carmen,"","","",0,0,0,-1,0,2019-10-04 13:39:03,-1,0,19,5,0
139,Mármoles,"","","",0,0,0,-1,0,2019-10-04 13:39:03,-1,-1,10,5,12
140,El Limonar,Limonar -  Málaga (Málaga),"","",0,0,0,161,0,2019-10-04 13:39:03,-1,-1,16,8,16
142,Bailén,Bailén -  Málaga (Málaga),"","",0,0,0,0,0,2019-10-04 13:39:03,-1,-1,0,0,16
1,Salitre,Calle SalitreMálaga,"","",36.7132149,-4.4276681,3.986444,-1,0,2019-10-04 13:41:02,-1,0,17,5,0
2,Cervantes,Calle CervantesMálaga,"","",36.7208633,-4.4119148,9.531203,-1,0,2019-10-04 13:41:02,-1,0,22,5,0
3,El Palo,Calle Alonso Carrillo De AlbornozMálaga,"","",36.721035,-4.3607192,8.069582,-1,0,2019-10-04 13:41:03,-1,0,7,5,0
4,Av. de Andalucía,Avenida De AndalucíaMálaga,"","",36.7171364,-4.4277549,7.341792,-1,0,2019-10-04 13:41:03,-1,0,31,5,0
5,Camas,Calle Camas -  Málaga,"","",36.7202072,-4.4244981,7.589293,-1,0,2019-10-04 13:41:03,-1,0,23,5,0
6,Cruz De Humilladero,Plaza Cruz De HumilladeroMálaga,"","",36.7118645,-4.4409118,9.336616,-1,0,2019-10-04 13:41:03,-1,0,12,5,0
8,Alcazaba,Plaza La AlcazabaMálaga,"","",36.7224312,-4.4165168,14.149522,-1,0,2019-10-04 13:41:03,-1,0,27,5,0
9,San Juan De La Cruz,Compositor Lemberg Ruiz - 29007 Málaga (Málaga),952612642,"",36.717865,-4.4332781,8.787301,-1,0,2019-10-04 13:41:03,-1,0,35,5,0
10,Pz. de la Marina,Plaza De La MarinaMálaga,"","",36.7174149,-4.4200468,3.109754,-1,0,2019-10-04 13:41:03,-1,0,23,5,0
12,Tejón y Rodriguez,Calle Tejón Y RodriguezMálaga,"","",36.7235985,-4.4214821,10.485368,-1,0,2019-10-04 13:41:03,-1,0,13,5,0
138,El Carmen,"","","",0,0,0,-1,0,2019-10-04 13:41:03,-1,0,19,5,0
139,Mármoles,"","","",0,0,0,-1,0,2019-10-04 13:41:03,-1,-1,10,5,12
140,El Limonar,Limonar -  Málaga (Málaga),"","",0,0,0,161,0,2019-10-04 13:41:03,-1,-1,16,8,16
142,Bailén,Bailén -  Málaga (Málaga),"","",0,0,0,0,0,2019-10-04 13:41:03,-1,-1,0,0,16
1,Salitre,Calle SalitreMálaga,"","",36.7132149,-4.4276681,3.986444,-1,0,2019-10-04 13:43:03,-1,0,17,5,0
2,Cervantes,Calle CervantesMálaga,"","",36.7208633,-4.4119148,9.531203,-1,0,2019-10-04 13:43:03,-1,0,22,5,0
3,El Palo,Calle Alonso Carrillo De AlbornozMálaga,"","",36.721035,-4.3607192,8.069582,-1,0,2019-10-04 13:43:03,-1,0,7,5,0
4,Av. de Andalucía,Avenida De AndalucíaMálaga,"","",36.7171364,-4.4277549,7.341792,-1,0,2019-10-04 13:43:03,-1,0,31,5,0
5,Camas,Calle Camas -  Málaga,"","",36.7202072,-4.4244981,7.589293,-1,0,2019-10-04 13:43:03,-1,0,23,5,0
6,Cruz De Humilladero,Plaza Cruz De HumilladeroMálaga,"","",36.7118645,-4.4409118,9.336616,-1,0,2019-10-04 13:43:03,-1,0,12,5,0
8,Alcazaba,Plaza La AlcazabaMálaga,"","",36.7224312,-4.4165168,14.149522,-1,0,2019-10-04 13:43:03,-1,0,27,5,0
9,San Juan De La Cruz,Compositor Lemberg Ruiz - 29007 Málaga (Málaga),952612642,"",36.717865,-4.4332781,8.787301,-1,0,2019-10-04 13:43:03,-1,0,35,5,0
10,Pz. de la Marina,Plaza De La MarinaMálaga,"","",36.7174149,-4.4200468,3.109754,-1,0,2019-10-04 13:43:03,-1,0,23,5,0
12,Tejón y Rodriguez,Calle Tejón Y RodriguezMálaga,"","",36.7235985,-4.4214821,10.485368,-1,0,2019-10-04 13:43:03,-1,0,13,5,0
138,El Carmen,"","","",0,0,0,-1,0,2019-10-04 13:43:03,-1,0,19,5,0
139,Mármoles,"","","",0,0,0,-1,0,2019-10-04 13:43:03,-1,-1,10,5,12
140,El Limonar,Limonar -  Málaga (Málaga),"","",0,0,0,161,0,2019-10-04 13:43:03,-1,-1,16,8,16
142,Bailén,Bailén -  Málaga (Málaga),"","",0,0,0,0,0,2019-10-04 13:43:03,-1,-1,0,0,16
1,Salitre,Calle SalitreMálaga,"","",36.7132149,-4.4276681,3.986444,-1,0,2019-10-04 13:45:03,-1,0,17,5,0
2,Cervantes,Calle CervantesMálaga,"","",36.7208633,-4.4119148,9.531203,-1,0,2019-10-04 13:45:03,-1,0,22,5,0
3,El Palo,Calle Alonso Carrillo De AlbornozMálaga,"","",36.721035,-4.3607192,8.069582,-1,0,2019-10-04 13:45:03,-1,0,7,5,0
4,Av. de Andalucía,Avenida De AndalucíaMálaga,"","",36.7171364,-4.4277549,7.341792,-1,0,2019-10-04 13:45:03,-1,0,31,5,0
5,Camas,Calle Camas -  Málaga,"","",36.7202072,-4.4244981,7.589293,-1,0,2019-10-04 13:45:03,-1,0,23,5,0
6,Cruz De Humilladero,Plaza Cruz De HumilladeroMálaga,"","",36.7118645,-4.4409118,9.336616,-1,0,2019-10-04 13:45:03,-1,0,12,5,0
8,Alcazaba,Plaza La AlcazabaMálaga,"","",36.7224312,-4.4165168,14.149522,-1,0,2019-10-04 13:45:03,-1,0,27,5,0
9,San Juan De La Cruz,Compositor Lemberg Ruiz - 29007 Málaga (Málaga),952612642,"",36.717865,-4.4332781,8.787301,-1,0,2019-10-04 13:45:03,-1,0,35,5,0
10,Pz. de la Marina,Plaza De La MarinaMálaga,"","",36.7174149,-4.4200468,3.109754,-1,0,2019-10-04 13:45:03,-1,0,23,5,0
12,Tejón y Rodriguez,Calle Tejón Y RodriguezMálaga,"","",36.7235985,-4.4214821,10.485368,-1,0,2019-10-04 13:45:03,-1,0,13,5,0
138,El Carmen,"","","",0,0,0,-1,0,2019-10-04 13:45:03,-1,0,19,5,0
139,Mármoles,"","","",0,0,0,-1,0,2019-10-04 13:45:03,-1,-1,10,5,12
140,El Limonar,Limonar -  Málaga (Málaga),"","",0,0,0,161,0,2019-10-04 13:45:03,-1,-1,16,8,16
142,Bailén,Bailén -  Málaga (Málaga),"","",0,0,0,0,0,2019-10-04 13:45:03,-1,-1,0,0,16
1,Salitre,Calle SalitreMálaga,"","",36.7132149,-4.4276681,3.986444,-1,0,2019-10-04 13:47:04,-1,0,17,5,0
2,Cervantes,Calle CervantesMálaga,"","",36.7208633,-4.4119148,9.531203,-1,0,2019-10-04 13:47:04,-1,0,22,5,0
3,El Palo,Calle Alonso Carrillo De AlbornozMálaga,"","",36.721035,-4.3607192,8.069582,-1,0,2019-10-04 13:47:04,-1,0,7,5,0
4,Av. de Andalucía,Avenida De AndalucíaMálaga,"","",36.7171364,-4.4277549,7.341792,-1,0,2019-10-04 13:47:04,-1,0,31,5,0
5,Camas,Calle Camas -  Málaga,"","",36.7202072,-4.4244981,7.589293,-1,0,2019-10-04 13:47:04,-1,0,23,5,0
6,Cruz De Humilladero,Plaza Cruz De HumilladeroMálaga,"","",36.7118645,-4.4409118,9.336616,-1,0,2019-10-04 13:47:04,-1,0,12,5,0
8,Alcazaba,Plaza La AlcazabaMálaga,"","",36.7224312,-4.4165168,14.149522,-1,0,2019-10-04 13:47:04,-1,0,27,5,0
9,San Juan De La Cruz,Compositor Lemberg Ruiz - 29007 Málaga (Málaga),952612642,"",36.717865,-4.4332781,8.787301,-1,0,2019-10-04 13:47:04,-1,0,35,5,0
10,Pz. de la Marina,Plaza De La MarinaMálaga,"","",36.7174149,-4.4200468,3.109754,-1,0,2019-10-04 13:47:04,-1,0,23,5,0
12,Tejón y Rodriguez,Calle Tejón Y RodriguezMálaga,"","",36.7235985,-4.4214821,10.485368,-1,0,2019-10-04 13:47:04,-1,0,13,5,0
138,El Carmen,"","","",0,0,0,-1,0,2019-10-04 13:47:04,-1,0,19,5,0
139,Mármoles,"","","",0,0,0,-1,0,2019-10-04 13:47:04,-1,-1,10,5,12
140,El Limonar,Limonar -  Málaga (Málaga),"","",0,0,0,161,0,2019-10-04 13:47:04,-1,-1,16,8,16
142,Bailén,Bailén -  Málaga (Málaga),"","",0,0,0,0,0,2019-10-04 13:47:04,-1,-1,0,0,16
1,Salitre,Calle SalitreMálaga,"","",36.7132149,-4.4276681,3.986444,-1,0,2019-10-04 13:49:03,-1,0,17,5,0
2,Cervantes,Calle CervantesMálaga,"","",36.7208633,-4.4119148,9.531203,-1,0,2019-10-04 13:49:03,-1,0,22,5,0
3,El Palo,Calle Alonso Carrillo De AlbornozMálaga,"","",36.721035,-4.3607192,8.069582,-1,0,2019-10-04 13:49:03,-1,0,7,5,0
4,Av. de Andalucía,Avenida De AndalucíaMálaga,"","",36.7171364,-4.4277549,7.341792,-1,0,2019-10-04 13:49:03,-1,0,31,5,0
5,Camas,Calle Camas -  Málaga,"","",36.7202072,-4.4244981,7.589293,-1,0,2019-10-04 13:49:03,-1,0,23,5,0
6,Cruz De Humilladero,Plaza Cruz De HumilladeroMálaga,"","",36.7118645,-4.4409118,9.336616,-1,0,2019-10-04 13:49:03,-1,0,12,5,0
8,Alcazaba,Plaza La AlcazabaMálaga,"","",36.7224312,-4.4165168,14.149522,-1,0,2019-10-04 13:49:03,-1,0,27,5,0
9,San Juan De La Cruz,Compositor Lemberg Ruiz - 29007 Málaga (Málaga),952612642,"",36.717865,-4.4332781,8.787301,-1,0,2019-10-04 13:49:03,-1,0,35,5,0
10,Pz. de la Marina,Plaza De La MarinaMálaga,"","",36.7174149,-4.4200468,3.109754,-1,0,2019-10-04 13:49:03,-1,0,23,5,0
12,Tejón y Rodriguez,Calle Tejón Y RodriguezMálaga,"","",36.7235985,-4.4214821,10.485368,-1,0,2019-10-04 13:49:03,-1,0,13,5,0
138,El Carmen,"","","",0,0,0,-1,0,2019-10-04 13:49:03,-1,0,19,5,0
139,Mármoles,"","","",0,0,0,-1,0,2019-10-04 13:49:03,-1,-1,10,5,12
140,El Limonar,Limonar -  Málaga (Málaga),"","",0,0,0,161,0,2019-10-04 13:49:03,-1,-1,16,8,16
142,Bailén,Bailén -  Málaga (Málaga),"","",0,0,0,0,0,2019-10-04 13:49:03,-1,-1,0,0,16
1,Salitre,Calle SalitreMálaga,"","",36.7132149,-4.4276681,3.986444,-1,0,2019-10-04 13:51:03,-1,0,17,5,0
2,Cervantes,Calle CervantesMálaga,"","",36.7208633,-4.4119148,9.531203,-1,0,2019-10-04 13:51:03,-1,0,22,5,0
3,El Palo,Calle Alonso Carrillo De AlbornozMálaga,"","",36.721035,-4.3607192,8.069582,-1,0,2019-10-04 13:51:03,-1,0,7,5,0
4,Av. de Andalucía,Avenida De AndalucíaMálaga,"","",36.7171364,-4.4277549,7.341792,-1,0,2019-10-04 13:51:03,-1,0,31,5,0
5,Camas,Calle Camas -  Málaga,"","",36.7202072,-4.4244981,7.589293,-1,0,2019-10-04 13:51:03,-1,0,23,5,0
6,Cruz De Humilladero,Plaza Cruz De HumilladeroMálaga,"","",36.7118645,-4.4409118,9.336616,-1,0,2019-10-04 13:51:03,-1,0,12,5,0
8,Alcazaba,Plaza La AlcazabaMálaga,"","",36.7224312,-4.4165168,14.149522,-1,0,2019-10-04 13:51:03,-1,0,27,5,0
9,San Juan De La Cruz,Compositor Lemberg Ruiz - 29007 Málaga (Málaga),952612642,"",36.717865,-4.4332781,8.787301,-1,0,2019-10-04 13:51:03,-1,0,35,5,0
10,Pz. de la Marina,Plaza De La MarinaMálaga,"","",36.7174149,-4.4200468,3.109754,-1,0,2019-10-04 13:51:03,-1,0,23,5,0
12,Tejón y Rodriguez,Calle Tejón Y RodriguezMálaga,"","",36.7235985,-4.4214821,10.485368,-1,0,2019-10-04 13:51:03,-1,0,13,5,0
138,El Carmen,"","","",0,0,0,-1,0,2019-10-04 13:51:03,-1,0,19,5,0
139,Mármoles,"","","",0,0,0,-1,0,2019-10-04 13:51:03,-1,-1,10,5,12
140,El Limonar,Limonar -  Málaga (Málaga),"","",0,0,0,161,0,2019-10-04 13:51:03,-1,-1,16,8,16
142,Bailén,Bailén -  Málaga (Málaga),"","",0,0,0,0,0,2019-10-04 13:51:03,-1,-1,0,0,16
1,Salitre,Calle SalitreMálaga,"","",36.7132149,-4.4276681,3.986444,-1,0,2019-10-04 13:53:03,-1,0,17,5,0
2,Cervantes,Calle CervantesMálaga,"","",36.7208633,-4.4119148,9.531203,-1,0,2019-10-04 13:53:03,-1,0,22,5,0
3,El Palo,Calle Alonso Carrillo De AlbornozMálaga,"","",36.721035,-4.3607192,8.069582,-1,0,2019-10-04 13:53:03,-1,0,7,5,0
4,Av. de Andalucía,Avenida De AndalucíaMálaga,"","",36.7171364,-4.4277549,7.341792,-1,0,2019-10-04 13:53:03,-1,0,31,5,0
5,Camas,Calle Camas -  Málaga,"","",36.7202072,-4.4244981,7.589293,-1,0,2019-10-04 13:53:03,-1,0,23,5,0
6,Cruz De Humilladero,Plaza Cruz De HumilladeroMálaga,"","",36.7118645,-4.4409118,9.336616,-1,0,2019-10-04 13:53:03,-1,0,12,5,0
8,Alcazaba,Plaza La AlcazabaMálaga,"","",36.7224312,-4.4165168,14.149522,-1,0,2019-10-04 13:53:03,-1,0,27,5,0
9,San Juan De La Cruz,Compositor Lemberg Ruiz - 29007 Málaga (Málaga),952612642,"",36.717865,-4.4332781,8.787301,-1,0,2019-10-04 13:53:03,-1,0,35,5,0
10,Pz. de la Marina,Plaza De La MarinaMálaga,"","",36.7174149,-4.4200468,3.109754,-1,0,2019-10-04 13:53:03,-1,0,23,5,0
12,Tejón y Rodriguez,Calle Tejón Y RodriguezMálaga,"","",36.7235985,-4.4214821,10.485368,-1,0,2019-10-04 13:53:03,-1,0,13,5,0
138,El Carmen,"","","",0,0,0,-1,0,2019-10-04 13:53:03,-1,0,19,5,0
139,Mármoles,"","","",0,0,0,-1,0,2019-10-04 13:53:03,-1,-1,10,5,12
140,El Limonar,Limonar -  Málaga (Málaga),"","",0,0,0,161,0,2019-10-04 13:53:04,-1,-1,16,8,16
142,Bailén,Bailén -  Málaga (Málaga),"","",0,0,0,0,0,2019-10-04 13:53:04,-1,-1,0,0,16
1,Salitre,Calle SalitreMálaga,"","",36.7132149,-4.4276681,3.986444,-1,0,2019-10-04 13:55:04,-1,0,17,5,0
2,Cervantes,Calle CervantesMálaga,"","",36.7208633,-4.4119148,9.531203,-1,0,2019-10-04 13:55:04,-1,0,22,5,0
3,El Palo,Calle Alonso Carrillo De AlbornozMálaga,"","",36.721035,-4.3607192,8.069582,-1,0,2019-10-04 13:55:04,-1,0,7,5,0
4,Av. de Andalucía,Avenida De AndalucíaMálaga,"","",36.7171364,-4.4277549,7.341792,-1,0,2019-10-04 13:55:04,-1,0,31,5,0
5,Camas,Calle Camas -  Málaga,"","",36.7202072,-4.4244981,7.589293,-1,0,2019-10-04 13:55:04,-1,0,23,5,0
6,Cruz De Humilladero,Plaza Cruz De HumilladeroMálaga,"","",36.7118645,-4.4409118,9.336616,-1,0,2019-10-04 13:55:04,-1,0,12,5,0
8,Alcazaba,Plaza La AlcazabaMálaga,"","",36.7224312,-4.4165168,14.149522,-1,0,2019-10-04 13:55:04,-1,0,27,5,0
9,San Juan De La Cruz,Compositor Lemberg Ruiz - 29007 Málaga (Málaga),952612642,"",36.717865,-4.4332781,8.787301,-1,0,2019-10-04 13:55:04,-1,0,35,5,0
10,Pz. de la Marina,Plaza De La MarinaMálaga,"","",36.7174149,-4.4200468,3.109754,-1,0,2019-10-04 13:55:04,-1,0,23,5,0
12,Tejón y Rodriguez,Calle Tejón Y RodriguezMálaga,"","",36.7235985,-4.4214821,10.485368,-1,0,2019-10-04 13:55:04,-1,0,13,5,0
138,El Carmen,"","","",0,0,0,-1,0,2019-10-04 13:55:04,-1,0,19,5,0
139,Mármoles,"","","",0,0,0,-1,0,2019-10-04 13:55:04,-1,-1,10,5,12
140,El Limonar,Limonar -  Málaga (Málaga),"","",0,0,0,161,0,2019-10-04 13:55:04,-1,-1,16,8,16
142,Bailén,Bailén -  Málaga (Málaga),"","",0,0,0,0,0,2019-10-04 13:55:05,-1,-1,0,0,16
1,Salitre,Calle SalitreMálaga,"","",36.7132149,-4.4276681,3.986444,-1,0,2019-10-04 13:57:03,-1,0,17,5,0
2,Cervantes,Calle CervantesMálaga,"","",36.7208633,-4.4119148,9.531203,-1,0,2019-10-04 13:57:03,-1,0,22,5,0
3,El Palo,Calle Alonso Carrillo De AlbornozMálaga,"","",36.721035,-4.3607192,8.069582,-1,0,2019-10-04 13:57:03,-1,0,7,5,0
4,Av. de Andalucía,Avenida De AndalucíaMálaga,"","",36.7171364,-4.4277549,7.341792,-1,0,2019-10-04 13:57:03,-1,0,31,5,0
5,Camas,Calle Camas -  Málaga,"","",36.7202072,-4.4244981,7.589293,-1,0,2019-10-04 13:57:03,-1,0,23,5,0
6,Cruz De Humilladero,Plaza Cruz De HumilladeroMálaga,"","",36.7118645,-4.4409118,9.336616,-1,0,2019-10-04 13:57:03,-1,0,12,5,0
8,Alcazaba,Plaza La AlcazabaMálaga,"","",36.7224312,-4.4165168,14.149522,-1,0,2019-10-04 13:57:03,-1,0,27,5,0
9,San Juan De La Cruz,Compositor Lemberg Ruiz - 29007 Málaga (Málaga),952612642,"",36.717865,-4.4332781,8.787301,-1,0,2019-10-04 13:57:03,-1,0,35,5,0
10,Pz. de la Marina,Plaza De La MarinaMálaga,"","",36.7174149,-4.4200468,3.109754,-1,0,2019-10-04 13:57:03,-1,0,23,5,0
12,Tejón y Rodriguez,Calle Tejón Y RodriguezMálaga,"","",36.7235985,-4.4214821,10.485368,-1,0,2019-10-04 13:57:03,-1,0,13,5,0
138,El Carmen,"","","",0,0,0,-1,0,2019-10-04 13:57:03,-1,0,19,5,0
139,Mármoles,"","","",0,0,0,-1,0,2019-10-04 13:57:03,-1,-1,10,5,12
140,El Limonar,Limonar -  Málaga (Málaga),"","",0,0,0,161,0,2019-10-04 13:57:03,-1,-1,16,8,16
142,Bailén,Bailén -  Málaga (Málaga),"","",0,0,0,0,0,2019-10-04 13:57:03,-1,-1,0,0,16
1,Salitre,Calle SalitreMálaga,"","",36.7132149,-4.4276681,3.986444,-1,0,2019-10-04 13:59:03,-1,0,17,5,0
2,Cervantes,Calle CervantesMálaga,"","",36.7208633,-4.4119148,9.531203,-1,0,2019-10-04 13:59:03,-1,0,22,5,0
3,El Palo,Calle Alonso Carrillo De AlbornozMálaga,"","",36.721035,-4.3607192,8.069582,-1,0,2019-10-04 13:59:03,-1,0,7,5,0
4,Av. de Andalucía,Avenida De AndalucíaMálaga,"","",36.7171364,-4.4277549,7.341792,-1,0,2019-10-04 13:59:03,-1,0,31,5,0
5,Camas,Calle Camas -  Málaga,"","",36.7202072,-4.4244981,7.589293,-1,0,2019-10-04 13:59:03,-1,0,23,5,0
6,Cruz De Humilladero,Plaza Cruz De HumilladeroMálaga,"","",36.7118645,-4.4409118,9.336616,-1,0,2019-10-04 13:59:03,-1,0,12,5,0
8,Alcazaba,Plaza La AlcazabaMálaga,"","",36.7224312,-4.4165168,14.149522,-1,0,2019-10-04 13:59:03,-1,0,27,5,0
9,San Juan De La Cruz,Compositor Lemberg Ruiz - 29007 Málaga (Málaga),952612642,"",36.717865,-4.4332781,8.787301,-1,0,2019-10-04 13:59:03,-1,0,35,5,0
10,Pz. de la Marina,Plaza De La MarinaMálaga,"","",36.7174149,-4.4200468,3.109754,-1,0,2019-10-04 13:59:03,-1,0,23,5,0
12,Tejón y Rodriguez,Calle Tejón Y RodriguezMálaga,"","",36.7235985,-4.4214821,10.485368,-1,0,2019-10-04 13:59:03,-1,0,13,5,0
138,El Carmen,"","","",0,0,0,-1,0,2019-10-04 13:59:03,-1,0,19,5,0
139,Mármoles,"","","",0,0,0,-1,0,2019-10-04 13:59:03,-1,-1,10,5,12
140,El Limonar,Limonar -  Málaga (Málaga),"","",0,0,0,161,0,2019-10-04 13:59:03,-1,-1,16,8,16
